date_time,city,state,shape
9/22/97 20:00,Solomons Island,MD,Disk
9/19/97,Garden Grove,CA,Rectangle
9/15/97 00:00,Houston,TX,Disk
9/15/97 20:00,Santa Fe,NM,Light
9/15/97 20:00,Kent,WA,Sphere
9/15/97 20:00,Angola,IN,Circle
9/7/97 12:00,Gulf of Mexico,LA,Cigar
9/1/97 23:00,Albany,ME,Light
9/1/97 22:30,Carlsbad,CA,Light
10/30/97 00:00,Ophir Mountain,UT,Circle
10/22/97 15:00,Milford,CA,Disk
10/20/97 08:45,Gig Harbor,WA,Light
10/19/97 02:00,Attleboro,MA,Light
10/17/97 20:00,Ignacio,CO,Triangle
10/15/97 20:00,Rosburg,WA,Triangle
10/15/97 19:00,Shark River Hills,NJ,Triangle
10/15/97 17:30,Daggett,CA,Rectangle
10/15/97 17:00,New Britain (?),CT,Rectangle
10/10/97 20:00,Bonaire,GA,Triangle
10/10/97 17:00,Mesa,AZ,Sphere
10/3/97 21:30,Waco,TX,Light
10/2/97 02:00,Ringgold,GA,Circle
10/1/97 22:00,Summerville,SC,Triangle
10/1/97 19:00,Green Bay,WI,Light
10/1/97 19:00,Pelzer,SC,Triangle
11/28/97 19:30,Lake Geneva,WI,Fireball
11/21/97 12:00,Plattsmouth,NE,Circle
11/15/97 23:00,Chester,NJ,Circle
11/15/97 21:30,Varysburg,NY,Triangle
11/15/97 20:00,El Centro,CA,Oval
11/14/97 22:00,Stevens Pass,WA,Disk
11/14/97 21:00,Gig Harbor,WA,Formation
11/14/97 20:00,Lynnwood,WA,Oval
11/9/97 21:00,Perkinston,MS,Cigar
12/31/97 20:30,Warren,OH,Other
12/25/97 09:00,Los Angeles (Eagle Rock),CA,Disk
12/17/97 00:15,Ocala,FL,Fireball
12/15/97 22:00,Iola,IL,Fireball
12/15/97 18:00,Oak Hill,WV,Triangle
12/10/97 20:00,Fort Ann,NY,Other
12/1/97 23:30,Paramus (souh of),NJ,Fireball
12/1/97 22:00,Greentown,IN,Cigar
1/11/98 06:55,Middletown,NJ,Fireball
1/1/98 23:00,Milwaukee/West Allis/West Milwaukee,WI,Changing
1/1/98 20:30,Coxsacke,NY,Light
1/1/98 13:00,Baton Rouge,LA,Circle
2/26/98 22:30,Tallahassee,FL,Triangle
2/1/98 00:30,Four Corners,NM,Other
3/25/98 23:30,Alexandria,LA,Triangle
3/18/98 02:00,Trout Run,PA,Fireball
3/15/98 00:00,Roswell,NM,Triangle
3/15/98 22:30,Farina,IL,Fireball
3/15/98 21:30,Los Osos,CA,Sphere
3/15/98 19:00,Gladewater,TX,Triangle
3/14/98 21:00,Frankfort,IN,Triangle
3/13/98 21:00,San Diego,CA,Circle
3/7/98 08:00,Malabar,FL,Triangle
3/5/98 10:00,Goleta,CA,Circle
3/3/98 20:00,Houston,TX,Sphere
3/1/98 02:30,Beal AFB,CA,Disk
4/28/98 22:00,Tulsa,OK,Circle
4/25/98 20:00,Frisco,CO,Oval
4/20/98 21:00,Muskegon,MI,Other
4/16/98 15:00,Fort Gay,WV,Disk
4/15/98 20:30,Hartsgrove,OH,Disk
4/15/98 20:00,Richmond,CA,Disk
4/15/98 08:20,Baraboo,WI,Sphere
4/15/98 07:45,Catawba,OH,Triangle
4/5/98 11:50,Soquel,CA,Other
4/4/98 23:00,Northern California,CA,Light
4/1/98 21:00,Henry County,OH,Triangle
4/1/98 13:00,Providence,RI,Circle
5/30/98 21:00,Salem,OR,Oval
5/20/98 01:00,Fort Myers,FL,Circle
5/15/98 21:45,Sebastopol,MS,Light
5/15/98 07:30,Ft. Campbell,KY,Circle
5/15/98 07:30,Nettleton,MS,Light
5/12/98 03:00,Pampa,TX,Light
5/8/98 21:40,Deerfield Beach,FL,Light
5/6/98 20:00,Colorado Springs,CO,Other
5/3/98 21:00,Las Vegas,NV,Triangle
5/1/98 22:00,Gwinn,MI,Triangle
6/30/98 21:30,Brooklyn,MI,Oval
6/30/98 13:00,Alpha,IL,Circle
6/30/98 10:00,Commerce Township,MI,Changing
6/30/98 03:00,Port St. Lucie,FL,Disk
6/30/98 01:30,Quartzite,AZ,Flash
6/20/98 03:30,Jacksonville,FL,Circle
6/16/98 20:46,Vincennes,IN,Light
6/16/98 08:46,Vincennes,IN,Light
6/15/98 21:00,Bellingham,WA,Light
6/15/98 21:00,Bensalem,PA,Disk
6/15/98 08:23,Beavercreek,OH,Other
6/12/98 22:45,Montebello,CA,Light
6/10/98 20:00,Mechanicsville,IA,Triangle
6/6/98 22:00,Elba,NY,Light
6/6/98 21:30,Tampa,FL,Light
6/6/98 19:00,Salinas,CA,Fireball
6/1/98 23:00,Aransas Pass,TX,Circle
6/1/98 23:00,Rancho Tehama,CA,Disk
6/1/98 22:00,Portland,OR,Triangle
6/1/98 22:00,Liberty County (on highway),MT,Other
6/1/98 22:00,Valencia,CA,Triangle
6/1/98 21:30,Wendover,UT,Triangle
6/1/98 21:00,Sulphur,LA,Sphere
6/1/98 20:00,New Rochelle,NY,Light
6/1/98 18:00,Hunstville,AL,Changing
6/1/98 16:30,Colville,WA,Other
6/1/98 14:00,West Plains,MO,Triangle
6/1/98 12:30,Los Angeles,CA,Disk
6/1/98 10:30,Winston-Salem (north of),NC,Circle
6/1/98 10:00,Ellensburg,WA,Light
6/1/98 01:00,Danville,OH,Disk
7/30/98 22:00,Waynesboro,VA,Disk
7/25/98 20:00,Moscow Mills,MO,Cigar
7/20/98 16:00,Sulphur springs,TX,Triangle
7/20/98 16:00,Sulphur Springs,TX,Triangle
7/15/98 21:30,Scales Mound,IL,Light
7/15/98 19:00,Sterling,VA,Disk
7/15/98 14:00,New York City (Brooklyn),NY,Other
7/15/98 08:00,Columbus,OH,Other
7/15/98 01:30,Albuquerque,NM,Fireball
7/15/98 01:00,Minneapolis,MN,Disk
7/14/98 23:00,Shanadoah,IA,Triangle
7/10/98 17:30,Arnold,MO,Light
7/10/98 15:00,New Rochelle,NY,Cigar
7/8/98 23:00,West Bloomfield,MI,Other
7/7/98 22:00,Hull,GA,Oval
7/7/98 01:00,Camdenton,MO,Other
7/5/98 02:00,Manasota Key,FL,Formation
7/4/98 22:00,Akron,OH,Other
7/1/98 22:00,Lockwood,CA,Cigar
7/1/98 02:00,Rapid City,MI,Sphere
7/1/98,Roseville,CA,Circle
8/28/98 19:00,West Islip,NY,Other
8/28/98 05:45,Mobile,AL,Light
8/23/98 11:45,Santa Rosa,CA,Disk
8/15/98 23:30,Crestline (Silverwood Lake),CA,Triangle
8/15/98 23:00,Annapolis,MD,Triangle
8/15/98 17:00,Tracy (near; on I-5; close to Gilroy),CA,Circle
8/15/98 11:00,Perryville,MO,Fireball
8/15/98 01:00,Highlands Ranch,CO,Flash
8/14/98 16:00,Burlington,ND,Fireball
8/13/98 03:00,Hampton,NH,Circle
8/13/98 02:00,Lake Alpine,CA,Sphere
8/10/98 22:00,Harrisburg,PA,Triangle
8/10/98 22:00,Modesto,CA,Triangle
8/7/98 00:00,Casa Grande,AZ,Triangle
8/7/98 00:00,Casa Grande,AZ,Triangle
8/5/98 21:00,Mumford,NY,Circle
8/1/98 03:00,Chicago,IL,Light
8/1/98 00:00,Binghamton,NY,Sphere
9/21/98 21:00,Dearborn,MI,Other
9/20/98 14:00,Tukwila,WA,Sphere
9/20/98 01:15,Fort Bragg,NC,Triangle
9/15/98 23:00,Belen,NM,Light
9/15/98 20:00,Lubbock,TX,Other
9/15/98 19:00,Hawkinsville,GA,Disk
9/12/98 02:00,Manchester,KY,Cigar
9/10/98 22:30,Edinboro (near),PA,Triangle
