city,state,shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
Solomons Island,MD,Disk,1997-09-22,20:00:00,Monday,22,9
Garden Grove,CA,Rectangle,1997-09-19,00:00:00,Friday,19,9
Houston,TX,Disk,1997-09-15,00:00:00,Monday,15,9
Santa Fe,NM,Light,1997-09-15,20:00:00,Monday,15,9
Kent,WA,Sphere,1997-09-15,20:00:00,Monday,15,9
Angola,IN,Circle,1997-09-15,20:00:00,Monday,15,9
Gulf of Mexico,LA,Cigar,1997-09-07,12:00:00,Sunday,7,9
Albany,ME,Light,1997-09-01,23:00:00,Monday,1,9
Carlsbad,CA,Light,1997-09-01,22:30:00,Monday,1,9
Ophir Mountain,UT,Circle,1997-10-30,00:00:00,Thursday,30,10
Milford,CA,Disk,1997-10-22,15:00:00,Wednesday,22,10
Gig Harbor,WA,Light,1997-10-20,08:45:00,Monday,20,10
Attleboro,MA,Light,1997-10-19,02:00:00,Sunday,19,10
Ignacio,CO,Triangle,1997-10-17,20:00:00,Friday,17,10
Rosburg,WA,Triangle,1997-10-15,20:00:00,Wednesday,15,10
Shark River Hills,NJ,Triangle,1997-10-15,19:00:00,Wednesday,15,10
Daggett,CA,Rectangle,1997-10-15,17:30:00,Wednesday,15,10
New Britain (?),CT,Rectangle,1997-10-15,17:00:00,Wednesday,15,10
Bonaire,GA,Triangle,1997-10-10,20:00:00,Friday,10,10
Mesa,AZ,Sphere,1997-10-10,17:00:00,Friday,10,10
Waco,TX,Light,1997-10-03,21:30:00,Friday,3,10
Ringgold,GA,Circle,1997-10-02,02:00:00,Thursday,2,10
Summerville,SC,Triangle,1997-10-01,22:00:00,Wednesday,1,10
Green Bay,WI,Light,1997-10-01,19:00:00,Wednesday,1,10
Pelzer,SC,Triangle,1997-10-01,19:00:00,Wednesday,1,10
Lake Geneva,WI,Fireball,1997-11-28,19:30:00,Friday,28,11
Plattsmouth,NE,Circle,1997-11-21,12:00:00,Friday,21,11
Chester,NJ,Circle,1997-11-15,23:00:00,Saturday,15,11
Varysburg,NY,Triangle,1997-11-15,21:30:00,Saturday,15,11
El Centro,CA,Oval,1997-11-15,20:00:00,Saturday,15,11
Stevens Pass,WA,Disk,1997-11-14,22:00:00,Friday,14,11
Gig Harbor,WA,Formation,1997-11-14,21:00:00,Friday,14,11
Lynnwood,WA,Oval,1997-11-14,20:00:00,Friday,14,11
Perkinston,MS,Cigar,1997-11-09,21:00:00,Sunday,9,11
Warren,OH,Other,1997-12-31,20:30:00,Wednesday,31,12
Los Angeles (Eagle Rock),CA,Disk,1997-12-25,09:00:00,Thursday,25,12
Ocala,FL,Fireball,1997-12-17,00:15:00,Wednesday,17,12
Iola,IL,Fireball,1997-12-15,22:00:00,Monday,15,12
Oak Hill,WV,Triangle,1997-12-15,18:00:00,Monday,15,12
Fort Ann,NY,Other,1997-12-10,20:00:00,Wednesday,10,12
Paramus (souh of),NJ,Fireball,1997-12-01,23:30:00,Monday,1,12
Greentown,IN,Cigar,1997-12-01,22:00:00,Monday,1,12
